,hour,load_roll_mean_1d,load_lag24,load_roll_std_1d,temp3,dayofy,temp_gradient,temp2,load_roll_mean_2d,temp1,load
2017-01-09 22:00:00,22,92252.25,93980.0,4756.502855359379,40.8,9.0,0.5,31.4,92529.12711588542,39.8,87959.0
2017-01-09 23:00:00,23,91937.54166666669,90671.0,5102.925529018519,39.2,9.0,2.650000000000002,35.8,92290.552734375,33.9,83118.0
2017-01-10 00:00:00,0,91590.5,87727.0,5655.076442031226,39.2,10.0,2.650000000000002,35.8,92137.46647135416,33.9,79398.0
2017-01-10 01:00:00,1,91181.45833333331,86483.0,6352.596326317653,39.2,10.0,2.650000000000002,35.8,91928.85628255208,33.9,76666.0
2017-01-10 02:00:00,2,90712.20833333331,86024.0,7119.753854924359,39.2,10.0,2.650000000000002,35.8,91692.60856119792,33.9,74762.0
2017-01-10 03:00:00,3,90236.04166666669,85122.0,7854.154084909042,39.2,10.0,2.650000000000002,35.8,91447.25,33.9,73694.0
2017-01-10 04:00:00,4,89740.20833333333,85504.0,8513.79982595612,39.2,10.0,2.650000000000002,35.8,91100.54166666669,33.9,73604.0
2017-01-10 05:00:00,5,89235.66666666667,87210.0,9014.348666656935,39.2,10.0,2.650000000000002,35.8,90769.08333333331,33.9,75101.0
2017-01-10 06:00:00,6,88699.125,92138.0,9215.078552178944,39.2,10.0,2.650000000000002,35.8,90486.375,33.9,79261.0
2017-01-10 07:00:00,7,88129.375,98956.0,8972.879353738243,39.2,10.0,2.650000000000002,35.8,90280.97916666669,33.9,85282.0
2017-01-10 08:00:00,8,87562.625,101368.0,8518.396679170275,39.2,10.0,2.650000000000002,35.8,90084.75,33.9,87766.0
2017-01-10 09:00:00,9,87041.75,99767.0,8112.204022871943,39.2,10.0,2.650000000000002,35.8,89865.52083333333,33.9,87266.0
2017-01-10 10:00:00,10,86582.45833333333,98364.0,7747.128719047938,39.2,10.0,2.650000000000002,35.8,89668.20833333333,33.9,87341.0
2017-01-10 11:00:00,11,86188.54166666667,96711.0,7444.162112918472,39.2,10.0,2.650000000000002,35.8,89506.72916666667,33.9,87257.0
2017-01-10 12:00:00,12,85846.625,94880.0,7212.447252840425,39.2,10.0,2.650000000000002,35.8,89370.60416666667,33.9,86674.0
2017-01-10 13:00:00,13,85557.91666666667,93179.0,7042.864479721006,39.2,10.0,2.650000000000002,35.8,89254.27083333333,33.9,86250.0
2017-01-10 14:00:00,14,85306.08333333333,91877.0,6913.96632480848,39.2,10.0,2.650000000000002,35.8,89160.60416666667,33.9,85833.0
2017-01-10 15:00:00,15,85067.75,90648.0,6819.763493604589,39.2,10.0,2.650000000000002,35.8,89071.58333333333,33.9,84928.0
2017-01-10 16:00:00,16,84830.54166666667,89984.0,6739.869705741261,39.2,10.0,2.650000000000002,35.8,88967.22916666667,33.9,84291.0
